Fixed Point Iteration
Trying with guess (-2.07070, 6.80971) and constant (-64.66639)
{-2.070705, 6.809707},
{-2.070705, 6.809707},
{-0.584484, 6.871111},
{-0.584484, 6.871111},
{1.288886, 6.808192},
{1.288886, 6.808192},
{0.692369, 6.774490},
{0.692369, 6.774490},
{0.510280, 6.830493},
{0.510280, 6.830493},
{0.500343, 6.843754},
{0.500343, 6.843754},
{0.500908, 6.853457},
{0.500908, 6.853457},
{0.501205, 6.863817},
{0.501205, 6.863817},
{0.501581, 6.874749},
{0.501581, 6.874749},
{0.502031, 6.886313},
{0.502031, 6.886313},
{0.502566, 6.898566},
{0.502566, 6.898566},
{0.503199, 6.911574},
{0.503199, 6.911574},
{0.503944, 6.925411},
{0.503944, 6.925411},
{0.504819, 6.940159},
{0.504819, 6.940159},
{0.505844, 6.955911},
{0.505844, 6.955911},
{0.507044, 6.972772},
{0.507044, 6.972772},
{0.508448, 6.990860},
{0.508448, 6.990860},
{0.510090, 7.010310},
{0.510090, 7.010310},
{0.512012, 7.031274},
{0.512012, 7.031274},
{0.514264, 7.053924},
{0.514264, 7.053924},
{0.516908, 7.078456},
{0.516908, 7.078456},
{0.520017, 7.105092},
{0.520017, 7.105092},
{0.523683, 7.134083},
{0.523683, 7.134083},
{0.528016, 7.165708},
{0.528016, 7.165708},
{0.533153, 7.200281},
{0.533153, 7.200281},
{0.539261, 7.238140},
{0.539261, 7.238140},
{0.546546, 7.279644},
{0.546546, 7.279644},
{0.555256, 7.325154},
{0.555256, 7.325154},
{0.565691, 7.374990},
{0.565691, 7.374990},
{0.578192, 7.429370},
{0.578192, 7.429370},
{0.593132, 7.488296},
{0.593132, 7.488296},
{0.610864, 7.551384},
{0.610864, 7.551384},
{0.631613, 7.617626},
{0.631613, 7.617626},
{0.655293, 7.685133},
{0.655293, 7.685133},
{0.681232, 7.751007},
{0.681232, 7.751007},
{0.707951, 7.811608},
{0.707951, 7.811608},
{0.733271, 7.863454},
{0.733271, 7.863454},
{0.755018, 7.904494},
{0.755018, 7.904494},
{0.772013, 7.934819},
{0.772013, 7.934819},
{0.784384, 7.956162},
{0.784384, 7.956162},
{0.793016, 7.970773},
{0.793016, 7.970773},
{0.798911, 7.980645},
{0.798911, 7.980645},
{0.802896, 7.987278},
{0.802896, 7.987278},
{0.805579, 7.991727},
{0.805579, 7.991727},
{0.807381, 7.994710},
{0.807381, 7.994710},
{0.808591, 7.996709},
{0.808591, 7.996709},
{0.809404, 7.998050},
{0.809404, 7.998050},
{0.809949, 7.998950},
{0.809949, 7.998950},
{0.810315, 7.999553},
{0.810315, 7.999553},
{0.810560, 7.999958},
{0.810560, 7.999958},
{0.810725, 8.000230},
{0.810725, 8.000230},
{0.810836, 8.000412},
{0.810836, 8.000412},
{0.810910, 8.000534},
{0.810910, 8.000534},
{0.810960, 8.000616},
{0.810960, 8.000616},
{0.810993, 8.000672},
{0.810993, 8.000672},
{0.811016, 8.000709},
{0.811016, 8.000709},
{0.811031, 8.000733},
{0.811031, 8.000733},
{0.811041, 8.000750},
{0.811041, 8.000750},
{0.811048, 8.000761},
{0.811048, 8.000761},
{0.811052, 8.000769},
{0.811052, 8.000769},
{0.811055, 8.000774},
{0.811055, 8.000774},
{0.811057, 8.000777},
{0.811057, 8.000777},
{0.811059, 8.000780},
{0.811059, 8.000780},
{0.811060, 8.000781},
{0.811060, 8.000781},
{0.811060, 8.000782},
{0.811060, 8.000782},
{0.811061, 8.000783},
{0.811061, 8.000783},
{0.811061, 8.000783},
{0.811061, 8.000783},
{0.811061, 8.000784},
{0.811061, 8.000784},
{0.811061, 8.000784},
{0.811061, 8.000784},
{0.811061, 8.000784},
{0.811061, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
{0.811062, 8.000784},
Converged to {0.81106, 8.00078}
Plugging back in: {1.128497e-11, -6.683246e-10}
