Newton's Method
Trying with initial guess (-5.000000, -3.000000)
{-4.949949, -3.293050},
{-4.848146, -3.174401},
{-4.889391, -3.216158},
{-4.878043, -3.204567},
{-4.880808, -3.207390},
{-4.880128, -3.206695},
{-4.880295, -3.206865},
{-4.880254, -3.206824},
{-4.880264, -3.206834},
{-4.880261, -3.206831},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
{-4.880262, -3.206832},
Plugging back in (0.00000 -0.00000)
